Id,RecordTime,Value,ReasonDesc,StateDesc,QualityDesc
390182,9/2/2017 4:30:43 PM,0,Current Data,Good,Good
390182,9/2/2017 4:57:43 PM,4,Current Data,Good,Good
390182,9/2/2017 4:58:13 PM,8,Current Data,Good,Good
390182,9/2/2017 5:00:43 PM,7,Current Data,Good,Good
390182,9/2/2017 5:01:45 PM,0,Current Data,Good,Good
390182,9/2/2017 5:27:43 PM,4,Current Data,Good,Good
390182,9/2/2017 5:28:13 PM,8,Current Data,Good,Good
390182,9/2/2017 5:30:43 PM,5,Current Data,Good,Good
390182,9/2/2017 5:33:13 PM,0,Current Data,Good,Good
390182,9/2/2017 5:57:43 PM,4,Current Data,Good,Good
390182,9/2/2017 5:58:13 PM,2,Current Data,Good,Good
390182,9/2/2017 6:00:43 PM,0,Current Data,Good,Good
390182,9/2/2017 6:57:43 PM,4,Current Data,Good,Good
390182,9/2/2017 6:58:13 PM,8,Current Data,Good,Good
390182,9/2/2017 7:01:14 PM,5,Current Data,Good,Good
390182,9/2/2017 7:04:13 PM,0,Current Data,Good,Good
390182,9/2/2017 7:27:43 PM,4,Current Data,Good,Good
390182,9/2/2017 7:28:13 PM,8,Current Data,Good,Good
390182,9/2/2017 7:30:43 PM,5,Current Data,Good,Good
390182,9/2/2017 7:32:43 PM,0,Current Data,Good,Good
390182,9/2/2017 8:57:43 PM,4,Current Data,Good,Good
390182,9/2/2017 8:58:13 PM,2,Current Data,Good,Good
390182,9/2/2017 9:00:43 PM,0,Current Data,Good,Good
390182,9/2/2017 10:27:43 PM,4,Current Data,Good,Good
390182,9/2/2017 10:28:13 PM,8,Current Data,Good,Good
390182,9/2/2017 10:30:43 PM,5,Current Data,Good,Good
390182,9/2/2017 10:32:43 PM,0,Current Data,Good,Good
390182,9/2/2017 10:57:43 PM,3,Current Data,Good,Good
390182,9/2/2017 10:58:13 PM,2,Current Data,Good,Good
390182,9/2/2017 11:00:43 PM,0,Current Data,Good,Good
390182,9/3/2017 12:10:13 AM,2,Current Data,Good,Good
