Year,Month,Corporate Entity,Pipeline Name,Key Point,Latitude,Longitude,Direction of Flow,Trade Type,Product,Throughput 1000m3/day,Capacity (1000 m3/d),Reason for variance from nameplate capacity
2012,3,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic light,23,85.55635529,"Downstream Restrictions, Force Majeure"
2012,3,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic heavy,62,85.55635529,"Downstream Restrictions, Force Majeure"
2012,4,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic light,17,79.05693763,Downstream Restrictions
2012,4,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic heavy,62,79.05693763,Downstream Restrictions
2012,5,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic light,17,84.312,Downstream Restrictions
2012,5,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic heavy,66,84.312,Downstream Restrictions
2012,6,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic light,18,85.32,Downstream Restrictions
2012,6,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic heavy,60,85.32,Downstream Restrictions
2012,7,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic light,18,85.44,Downstream Restrictions
2012,7,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic heavy,55,85.44,Downstream Restrictions
2012,8,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic light,21,85.128,Downstream Restrictions
2012,8,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic heavy,59,85.128,Downstream Restrictions
2012,9,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic light,20,84.552,Downstream Restrictions
2012,9,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic heavy,57,84.552,Downstream Restrictions
2012,10,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic light,14,83.736,"Downstream Restrictions, Curtailment/Interruption"
2012,10,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic heavy,51,83.736,"Downstream Restrictions, Curtailment/Interruption"
2012,11,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic light,17,79.37673957,"Downstream Restrictions, Force Majeure"
2012,11,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic heavy,62,79.37673957,"Downstream Restrictions, Force Majeure"
2012,12,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic light,14,83.54616765,Downstream Restrictions
2012,12,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic heavy,70,83.54616765,Downstream Restrictions
2013,1,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic light,16,86.52314297,Downstream Restrictions
