Month,Year,Corporate Entity,Pipeline Name,Key Point,Latitude,Longitude,Direction of Flow,Trade Type,Product,Throughput 1000 m3/d,Capacity (1000 m3/d),Reason for variance from nameplate capacity
2,2012,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,31.3,not available,not available
3,2012,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,30.1,not available,not available
4,2012,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,32.8,not available,not available
5,2012,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,30,not available,not available
6,2012,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,33.1,not available,not available
7,2012,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,34.5,not available,not available
8,2012,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,34.1,not available,not available
9,2012,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,33.6,not available,not available
10,2012,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,33.7,not available,not available
11,2012,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,34.9,not available,not available
12,2012,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,33.9,not available,not available
1,2013,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,29.5,not available,not available
2,2013,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,32.3,not available,not available
3,2013,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,31.1,not available,not available
4,2013,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,33,not available,not available
5,2013,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,34.6,not available,not available
6,2013,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,35.4,not available,not available
7,2013,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,33.7,not available,not available
8,2013,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,32.8,not available,not available
9,2013,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,34.2,not available,not available
10,2013,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,31.4,not available,not available
11,2013,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,28.6,not available,not available
12,2013,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,33.4,not available,not available
1,2014,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,33,not available,not available
2,2014,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,34.3,not available,not available
3,2014,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,32.9,not available,not available
4,2014,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,30.9,not available,not available
5,2014,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,33.5,not available,not available
6,2014,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,35.3,not available,not available
7,2014,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,34.3,not available,not available
8,2014,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,35.1,not available,not available
9,2014,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,32.9,not available,not available
