Month,Year,Corporate Entity,Pipeline Name,Key Point,Latitude,Longitude,Direction of Flow,Trade Type,Product,Throughput (1000 m3/d),Capacity (1000 m3/d),Reason for variance from nameplate capacity
3,2010,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,3.152525702,5.473684211,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
4,2010,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,3.057205775,5.473684211,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
5,2010,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,3.278327041,5.473684211,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
6,2010,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,3.042518877,5.473684211,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
7,2010,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,1.329411437,5.473684211,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
8,2010,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,3.093649664,5.473684211,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
9,2010,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,3.09435322,5.473684211,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
10,2010,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,3.177033986,5.473684211,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
11,2010,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,2.908749387,5.473684211,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
12,2010,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,3.004669166,5.473684211,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
1,2011,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,3.022606622,5.473684211,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
2,2011,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,2.876493763,5.473684211,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
3,2011,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,2.878858468,5.473684211,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
4,2011,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,2.751625596,5.473684211,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
5,2011,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,0.230872942,2.947368421,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
6,2011,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,0.596490133,2.947368421,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
7,2011,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,0.787892604,2.947368421,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
8,2011,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,0.871202697,2.947368421,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
9,2011,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,2.759976185,3.2,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
10,2011,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,2.515023082,3.2,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
11,2011,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,2.656010692,2.947368421,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
12,2011,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,2.515087628,2.947368421,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
1,2012,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,2.557607597,2.947368421,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
2,2012,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,2.747290227,2.947368421,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
