COMPANY NAME,COUNTY,TOWN,API WELL NUMBER,WELL NAME,WELL STATUS CODE,WELL TYPE CODE,SURFACE LONGITUDE,SURFACE LATITUDE,VERIFIED LOCATION,REGION,Location 1
"Lee Oil Company, Inc.",Steuben,West Union,31101612280000,Rex 22,UL,NL,-77.69728,42.09577,NO,8,"{'longitude': '-77.69728', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":""West Union"",""state"":""NY"",""zip"":""""}', 'latitude': '42.09577'}"
"Lee Oil Company, Inc.",Steuben,West Union,31101612290000,Rex 23,UL,NL,-77.69498,42.09666,NO,8,"{'longitude': '-77.69498', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":""West Union"",""state"":""NY"",""zip"":""""}', 'latitude': '42.09666'}"
"Lee Oil Company, Inc.",Steuben,West Union,31101612470000,Rex 235,UL,NL,-77.69949,42.09251,NO,8,"{'longitude': '-77.69949', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":""West Union"",""state"":""NY"",""zip"":""""}', 'latitude': '42.09251'}"
"Lee Oil Company, Inc.",Steuben,West Union,31101612480000,Rex 236,UL,NL,-77.69895,42.09238,NO,8,"{'longitude': '-77.69895', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":""West Union"",""state"":""NY"",""zip"":""""}', 'latitude': '42.09238'}"
"Lee Oil Company, Inc.",Steuben,West Union,31101612490000,Rex 237,UL,NL,-77.69844,42.09229,NO,8,"{'longitude': '-77.69844', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":""West Union"",""state"":""NY"",""zip"":""""}', 'latitude': '42.09229'}"
"Lee Oil Company, Inc.",Steuben,West Union,31101612440000,Rex 353,UL,NL,-77.69599,42.09204,NO,8,"{'longitude': '-77.69599', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":""West Union"",""state"":""NY"",""zip"":""""}', 'latitude': '42.09204'}"
"Lee Oil Company, Inc.",Steuben,West Union,31101612400000,Rex 355,UL,NL,-77.69834,42.09289,NO,8,"{'longitude': '-77.69834', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":""West Union"",""state"":""NY"",""zip"":""""}', 'latitude': '42.09289'}"
"Lee Oil Company, Inc.",Steuben,West Union,31101612410000,Rex 356,UL,NL,-77.69713,42.0928,NO,8,"{'longitude': '-77.69713', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":""West Union"",""state"":""NY"",""zip"":""""}', 'latitude': '42.0928'}"
"Lee Oil Company, Inc.",Steuben,West Union,31101612420000,Rex 357,UL,NL,-77.69592,42.09284,NO,8,"{'longitude': '-77.69592', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":""West Union"",""state"":""NY"",""zip"":""""}', 'latitude': '42.09284'}"
"Lee Oil Company, Inc.",Steuben,West Union,31101612430000,Rex 358,UL,IW,-77.69475,42.09296,NO,8,"{'longitude': '-77.69475', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":""West Union"",""state"":""NY"",""zip"":""""}', 'latitude': '42.09296'}"
