project,postalCodes,zipCodes
Enbridge_Bakken_Pipeline_Expansion_Project,E2J 2T3,NA
Enbridge_Bakken_Pipeline_Expansion_Project,E2P 1J5,NA
Enbridge_Bakken_Pipeline_Expansion_Project,E2K 4B5,NA
Enbridge_Bakken_Pipeline_Expansion_Project,E2P 1J5,NA
Enbridge_Bakken_Pipeline_Expansion_Project,E2P 1J5,NA
Enbridge_Bakken_Pipeline_Expansion_Project,E2M 4V5,NA
Enbridge_Bakken_Pipeline_Expansion_Project,E2K 5A8,NA
Enbridge_Bakken_Pipeline_Expansion_Project,E2M 4R7,NA
Enbridge_Bakken_Pipeline_Expansion_Project,E3B 4A9,NA
Enbridge_Bakken_Pipeline_Expansion_Project,T2P 0X8,NA
Enbridge_Bakken_Pipeline_Expansion_Project,E1C 4Z8,NA
Enbridge_Bakken_Pipeline_Expansion_Project,E1C 4Z8,NA
Enbridge_Bakken_Pipeline_Expansion_Project,E2N 1B9,NA
Enbridge_Bakken_Pipeline_Expansion_Project,E2K 3M6,NA
Enbridge_Bakken_Pipeline_Expansion_Project,E2K 1H5,NA
Enbridge_Bakken_Pipeline_Expansion_Project,E2P 1J5,NA
Enbridge_Bakken_Pipeline_Expansion_Project,E2L 1L6,NA
Enbridge_Bakken_Pipeline_Expansion_Project,E2L 1L6,NA
Enbridge_Bakken_Pipeline_Expansion_Project,E2P 1L2,NA
Enbridge_Bakken_Pipeline_Expansion_Project,E2K 3K6,NA
Enbridge_Bakken_Pipeline_Expansion_Project,E2N 1L9,NA
Enbridge_Bakken_Pipeline_Expansion_Project,E2P 1K2,NA
Enbridge_Bakken_Pipeline_Expansion_Project,E2L 2G7,NA
Enbridge_Bakken_Pipeline_Expansion_Project,E2E 1N1,NA
Enbridge_Bakken_Pipeline_Expansion_Project,E2K 3T1,NA
Enbridge_Bakken_Pipeline_Expansion_Project,E2M 4R2,NA
Enbridge_Bakken_Pipeline_Expansion_Project,E2K 2H1,NA
Enbridge_Bakken_Pipeline_Expansion_Project,E2K 2H1,NA
Enbridge_Bakken_Pipeline_Expansion_Project,E2M 4R4,NA
