"Year","GHGRP ID","NPRI ID","Company & facility name","NAICS","City","Province / territory","CO2","CH4","N2O","HFCs","PFCs","SF6","Total"
"2016","G10529","1753","Keyera Corp - Minnehik Buck Lake Gas Plant","211113","Buck Lake","Alberta","63498.7581","5679.8725","1213.5752","0","0","0","70392.2058"
"2016","G10486","4152","Keyera Corp - West Pembina GP","211113","Drayton Valley","Alberta","39268.65","1247.6","110.0812","0","0","0","40626.3312"
"2016","G10249","1372","Keyera Corp - Rimbey Gas Plant","211113","Rimbey","Alberta","397997.821","7893.975","1765.5308","0","0","0","407657.3268"
"2016","G10807","698","Keyera Corp - Fort Saskatchewan Plant","211113","Fort Saskatchewan","Alberta","76521.159","555.575","434.9012","0","0","0","77511.6352"
"2016","G10277","1374","Keyera Corp - Strachan Gas Plant","211113","Rocky Mountain House","Alberta","236216.109","11696.825","2937.6244","0","0","0","250850.5584"
"2016","G10202","5337","Keyera Corp - Nevis Gas Plant","211113","Stettler","Alberta","79173.995","7772.8575","2392.5228","0","0","0","89339.3753"
"2016","G10030","1362","Keyera Corp - Brazeau River Gas Plant","211113","Drayton Valley","Alberta","63312.65","4568.75","1929.997","0","0","0","69811.397"
"2016","G10735","27826","Brion Energy Corporation - MacKay River Commercial Project","211114","Ft McMurray","Alberta","15945.698","9.6875","66.603","0","0","0","16021.9885"
"2016","G10750","27506","Imperial Oil Resources Limited - Kearl Oil Sands Processing Plant and Mine","211114","Fort McKay","Alberta","2529285.2876","22238.1275","50498.6926","0","0","6.84","2602028.9477"
"2016","G10746","25229","City of Calgary - Spyhill Landfill","562210","Calgary","Alberta","857","50046","28.9954","0","0","0","50931.9954"
"2016","G10709","19876","City of Calgary - Shepard Landfill","562210","Calgary","Alberta","889","17897","27.9822","0","0","0","18813.9822"
"2016","G10095","24315","City of Calgary - East Calgary Landfill","562210","Calgary","Alberta","844","30503","33.972","0","0","0","31380.972"
"2016","G10809","5232","ALIMENT JBS CANADA ULC/ JBS FOOD CANADA ULC - JBS Foods Canada Inc.","311611","Brooks","Alberta","55054.7136","239864.28","7931.7766","0","0","0","302850.7702"
"2016","G10008","null","Alliance Pipeline Ltd. - Alliance Pipeline Ltd. - AB Pipeline System","486210","Calgary","Alberta","523106.97","22475.3725","4303.716","0","0","0","549886.0585"
"2016","G10071","5248","Inter Pipeline Extraction Ltd. - Cochrane Extraction Plant","211113","Cochrane","Alberta","500333.8668","3293.7275","3367.0424","2713.785","0","0","509708.4217"
"2016","G10806","null","Bellatrix Exploration Ltd. - Ferrier Comp Station 13-05","211113","Calgary","Alberta","76650.058","17167.625","449.086","0","0","0","94266.769"
