LMS - INT03,"July 07, 2018"
Alberta Energy Regulator
Liability Management Programs Results Report
Liability Run ID:,40868
Liability Run Date:,"July 07, 2018"
Disclaimer:
Please note that the information posted on this Web site is provided solely for the convenience of licensees. The Liability Management Rating (LMR) provided for licensees reflects the results of a comparison of their deemed assets to their deemed liabilities for all Liability Management programs.  This ratio is based on information reported to the AER and the calculation of deemed 
assets and deemed liabilities as specified in AER Directive:,006 Licensee Liability Rating (LLR) 
Program and Licence Transfer Process, Directive 024: Large Facility Liability Management Program (LFP) and Directive 075: Oilfield Waste Liability (OWL) Program.
"This information is provided without warranty of any kind, and while believed to be accurate, the AER, its agents, employees and contractors hereby disclaim any liability for losses or damages that may result or arise from the use of or reliance on the information provided on this site."
Liability Management Rating (LMR) 
Industry LMR Threshold:,1.00
Industry Average LMR:,"4.81"
Number of Licensees at or over Industry Threshold:,"419"
Number of Licensees below Industry Threshold:,"327"
Total Number of Licensees Evaluated:,"746"
Total Number of Licences/Approvals Evaluated:,"346,958"
Total Deemed Assets:,"$145,808,645,841.85"
Total Deemed Liabilities:,"$30,287,272,768.67"
Total Estimated Liabilities:,"$30,966,747,653.67"
Total LMR Security Held:,"$199,221,561.23"
Liability Management (LMR) Rating Summary 
LMR Range,Number of Licensees,Number of Licences/ Approvals,Total Deemed Assets,Total Deemed Liabilities,LMR Value
0.00,"222","2,948","$14,961.97","$214,166,360.27","0.00"
0.01 - 0.49,"39","1,098","$19,085,696.10","$105,593,577.33","0.18"
0.50 - 0.99,"66","12,785","$739,561,397.99","$847,492,745.82","0.87"
1.00 - 1.49,"133","50,230","$4,830,001,842.58","$3,688,348,836.00","1.31"
"Blackspur Oil Corp.  (A6F7)",,"6.61"
"Blaze Energy Ltd.  (0TX1)",*,"0.93"
"Blendforce Energy Services Inc.  (A2KX)",*,"1.07"
"Blue Springs Energy Ltd.  (0NT2)",,"1.58"
"Blue Star Energy Inc.  (A774)",*,"3.16"
"Bluestone Resources Inc.  (0WC3)",,"0.00"
"BLZ Energy Ltd.  (A30X)",,"0.00"
"Bonavista Energy Corporation  (A5RX)",,"4.19"
"Bonterra Energy Corp.  (0XZ4)",,"2.10"
"Border Petroleum Limited  (A562)",*,"0.54"
"Boulder Energy Ltd.  (A73X)",,"4.92"
"Bounty Developments Ltd.  (0HP8)",*,"1.38"
"Bow River Energy Ltd.  (A6N8)",,"1.31"
"BP Canada Energy Group ULC  (A62D)",*,"2.00"
"Brahma Resources Ltd.  (A31A)",,"0.94"
"Brand S Resources Ltd.  (0PM4)",*,"1.00"
"Bridgeoil Corporation  (A6AW)",*,"1.00"
"Broadview Energy Ltd.  (A5TA)",,"7.93"
"Bruce Developments Limited  (0EM5)",,"0.00"
"Bruderheim Energy Terminal Ltd.  (A76J)",*,"1.00"
"BRW Petroleum Corp.  (A6E9)",*,"1.00"
"Butte Energy Inc.  (A61Z)",*,"1.00"
"C Group Energy Inc.  (A6YN)",,"2.00"
"Cabot Energy Inc.  (A5HR)",,"1.89"
"Cadotte Disposal Services Ltd.  (A7K9)",*,"1.06"
"Caiterra International Energy Corporation  (A6AX)",*,"1.00"
"Cal-Ranch Resources Inc.  (0XG6)",*,"1.00"
"Caledonian Royalty Corporation  (A684)",*,"0.95"
"Calgary Crude Oil Limited  (0J61)",*,"4.83"
"Calmark Resources Ltd.  (0NR4)",*,"0.95"
"Caltex Resources Ltd.  (A60R)",,"6.73"
"Canada Northwest Energy Limited  (0L99)",*,"1.20"
"Canadian Coastal Resources Ltd.  (0PD1)",,"1.00"
"Canadian Energy Services & Technology Corp.  (A7C1)",,"5.75"
"Canadian Imperial Venture Corp.  (A73J)",*,"1.00"
"Canadian Natural Resources Limited  (0HE9)",,"3.00"
"Canadian Natural Upgrading Limited  (A7K5)",,"4.05"
"Canadian-Montana Pipe Line Corporation  (0958)",*,"1.00"
"Canamax Energy Ltd.  (A6LB)",,"5.83"
"Cancen Oil Processors Inc.  (A214)",*,"1.40"
"Canden Resources Ltd.  (0MH8)",*,"1.00"
"Cangild Resources Ltd.  (0P42)",*,"1.00"
"Canlin Energy Corporation  (A7M1)",,"2.40"
"Cansearch Resources Ltd.  (0PW8)",,"1.74"
"Canstone Energy Ltd.  (A69G)",,"1.47"
"Canuck North Resources Ltd.  (A60G)",,"4.55"
"Canyon Oil & Gas Corporation  (0L3H)",,"1.21"
"Cardinal Energy Ltd.  (A6A7)",,"2.01"
"Carrick Petroleum Inc.  (A6AM)",,"6.27"
"Castlegate Energy Ltd.  (A7F3)",,"1.00"
"Catapult Environmental Inc.  (A73Y)",*,"2.55"
"Cec North Star Energy Ltd.  (A6FB)",*,"1.61"
"Cedar Creek Energy Ltd.  (A7E1)",*,"1.27"
"Cenovus Energy Inc.  (A5D4)",,"3.06"
"Cenovus FCCL Ltd.  (A2EZ)",,"33.02"
"Cenovus TL ULC  (A629)",*,"1.00"
"Centennial Petroleum Company Ltd.  (0DL9)",,"1.82"
"Cequence Energy Ltd.  (A1ME)",,"5.42"
"Cerno Resources Ltd.  (A7LC)",,"1.07"
"Certus Oil And Gas Inc.  (A7J4)",,"1.45"
"Challenger Development Corp.  (0CX7)",,"1.55"
"Changhua Energy Canada Ltd.  (A63L)",,"3.51"
"Check Energy Ltd.  (A6M0)",*,"9.89"
"Chemnor Industries Ltd  (0BR8)",*,"0.86"
"Chevron Canada Limited  (0045)",*,"15.28"
"Chinook Energy Inc.  (A5LF)",*,"1.13"
"Chronos Resources Ltd.  (A7LT)",,"1.00"
"Cinabar Enterprises Ltd.  (0W11)",,"0.00"
"City Of Medicine Hat  (0150)",*,"1.00"
"Clampett Energy Ltd.  (A5J8)",*,"0.96"
"Clean Harbors Exploration Services, ULC  (0PH4)",,"0.00"
"Clean Harbors Industrial Services Canada, Inc.  (A619)",*,"1.67"
"Clearbrook Resources Inc.  (A5G9)",,"1.20"
"Clearview Resources Ltd.  (A5RA)",,"2.89"
"Cleo Energy Corp.  (A7BY)",,"1.13"
"CNOOC Canada Energy Ltd.  (A71M)",,"1.00"
"CNPC International (Canada) Ltd.  (0HZ2)",*,"1.01"
"Coalspur Mines (Operations) Ltd.  (A5M1)",,"1.00"
"Coastal Resources Limited  (0PR1)",,"1.07"
"Cold Creek Resources Ltd.  (A0AZ)",,"2.04"
"Cona Resources Ltd.  (A5K1)",*,"1.00"
"Concerto Resources Ltd.  (0LW8)",,"0.00"
"Condor Canada Petroleum Inc.  (A2E5)",*,"1.00"
"Connacher Oil And Gas Limited  (0A9H)",,"25.41"
"Connaught Oil & Gas Ltd.  (A5E2)",*,"1.00"
"ConocoPhillips Canada Operations ULC  (0XL9)",*,"1.67"
"ConocoPhillips Canada Resources Corp.  (A5G3)",,"21.45"
"Continental Energy Corporation  (A7LY)",,"3.01"
"Contour Energy Ltd.  (0GY1)",*,"1.00"
"Convega Energy Ltd.  (0E9R)",,"1.13"
"Cor4 Oil Corp.  (A6Y2)",,"1.50"
"Coral Exploration Corporation  (0NF4)",*,"0.80"
"Corex Resources Ltd.  (A2WH)",*,"1.47"
"Corinthian Oil Corp.  (A732)",*,"0.78"
"Corse Energy Corp.  (A6NW)",,"2.58"
"Cortona Energy Ltd.  (A79L)",,"1.76"
"Corval Energy Ltd.  (A6D1)",,"4.06"
"Cote Resources Ltd.  (A6G5)",*,"0.86"
"Crazy Hill Resources Ltd.  (0PJ1)",*,"1.22"
"Creenergy Oil & Gas Inc.  (A7M9)",*,"1.00"
"Crescent Point Energy Corp.  (A2J6)",,"2.43"
"Crest Jinn Petroleum Corporation  (A7MZ)",,"1.00"
"Crestwynd Exploration Ltd.  (A7MT)",,"20.66"
"Creswick Petroleum Ltd.  (0LP9)",*,"1.00"
"Crew Energy Inc.  (A0C6)",,"1.81"
"Crimson Oil & Gas Ltd.  (A6AG)",*,"0.70"
"Croverro Energy Ltd.  (A5PT)",,"0.83"
"CSV Midstream Solutions Corp.  (A6WG)",,"0.00"
"Cuda Energy Inc.  (A75T)",,"12.76"
"Cycle Energy Ltd.  (0D64)",,"0.30"
"Cynthia Custom Oil Processing Ltd.  (A74R)",*,"1.00"
"Dantel Resources Ltd.  (0KG3)",*,"1.00"
"Dark Energy Ltd.  (0XF2)",,"1.62"
"Dark Warrior Resources Ltd.  (A6AP)",*,"6.63"
"DCP Oil Corp.  (A7DB)",,"13.53"
"Deckland Inc.  (A64K)",,"0.20"
"Deep Well Oil & Gas (Alberta) Ltd.  (A577)",*,"1.00"
"DeerGarden Resources Ltd.  (A64N)",*,"4.47"
"Dejour Energy (Alberta) Ltd.  (A2W4)",*,"1.32"
"Delphi Energy Corp.  (0CT7)",,"13.36"
"Deltastream Energy Corporation  (A6YA)",,"5.78"
"Derrick Petroleum Ltd.  (0PX3)",*,"1.28"
"Desoto Resources Limited  (0PH7)",*,"0.97"
"Devon Canada Corporation  (0K29)",*,"10.81"
"DGS Oil & Gas Co. Inc.  (0NX3)",*,"1.00"
"Dienerian Resources Inc.  (A777)",,"1.00"
"Dire Resources Ltd.  (0A0E)",*,"2.77"
"Direct Energy Marketing Limited  (0RC3)",,"1.00"
"Direct Oil & Gas Inc.  (A7LX)",,"2.08"
"Dirham Oil (2000) Inc.  (A00C)",*,"2.68"
"Diversified Oil & Gas Ltd.  (0C5N)",*,"1.04"
"Doag Energy Ltd.  (A63X)",*,"5.31"
"Dolomite Energy Inc.  (A1CJ)",*,"0.49"
"Dragonfountain Ltd.  (A6Y1)",*,"1.00"
"Dragos Energy Corp.  (A7FL)",*,"0.38"
"Drakkar Energy Ltd.  (A2RJ)",,"5.14"
"Dynatech Petroleum Consultants Ltd.  (0MC7)",*,"3.02"
"E-T Energy Ltd.  (A1H6)",*,"1.37"
"Eagle Energy Inc.  (A794)",,"3.02"
"Eagle Hydrocarbons Ltd.  (0PB1)",*,"1.00"
"Eastcott Holdings Ltd.  (A1P7)",*,"1.00"
"Eclipse Resources Ltd.  (0YK8)",,"2.12"
"Eco-Industrial Business Park Inc.  (A519)",,"1.52"
"Edalis Energy Inc.  (A5F0)",,"0.97"
"Edson Anchors Ltd.  (A2NH)",*,"0.39"
"Elcano Exploration Inc.  (A78J)",*,"1.17"
"Elkhorn Petroleums Ltd.  (A72N)",*,"1.00"
"Elmdale Resources Ltd.  (0LN1)",*,"0.61"
"Ember Resources Inc.  (A1H9)",,"1.98"
"Emerald Lake Energy Ltd.  (A5YB)",,"11.33"
"Encana Corporation  (0026)",,"8.13"
"Ener T Corporation  (0HR9)",,"1.97"
"Enercapita Energy Ltd.  (A73W)",,"2.35"
"Energetic Logistics Services Inc.  (A73E)",*,"1.00"
"Energy Express Canada Corp.  (0LD3)",,"2.82"
"Enerplus Corporation  (A5RD)",,"3.09"
"Eng-Land Energy Ltd.  (0A1H)",*,"1.15"
"Enhance Energy Inc.  (A216)",,"1.13"
"Eni Canada Holding Ltd.  (A5FG)",*,"1.00"
"Entrada Resources Inc.  (A7DT)",,"2.57"
"Envolve Energy Services Corp.  (A6P8)",,"18.23"
"Essex Oil Corporation  (A74K)",,"3.04"
"Executive Adventures 2008 Inc.  (A6PA)",,"10.15"
"Expander Energy Inc.  (A7KE)",,"1.00"
"Exshaw Oil Corp.  (A2DM)",,"10.81"
"ExxonMobil Canada Energy  (0JT1)",*,"1.00"
"ExxonMobil Canada Ltd.  (0057)",,"1.08"
"ExxonMobil Canada Resources Company  (A0NG)",,"2.68"
"Far West Energy Corp.  (A6D0)",*,"2.49"
"Fenway Exploration Ltd.  (A70R)",,"0.00"
"Ferrybank Resources Ltd.  (0HH4)",*,"0.71"
"Ferus Inc.  (A1Y8)",,"4.96"
"Ferus Natural Gas Fuels Inc.  (A73H)",*,"1.00"
"Fire Creek Resources Ltd.  (0TY4)",*,"1.00"
"Firefly Resources Ltd.  (0NB7)",*,"1.03"
"Firenze Energy Ltd.  (A1EZ)",,"1.91"
"Five O Oil & Gas Ltd.  (A598)",*,"0.27"
"Flow-Back Oil & Gas Ltd.  (0F9Y)",,"1.10"
"Forent Energy Ltd.  (0YE6)",,"0.93"
"Forge Oil & Gas Limited  (A76A)",,"4.55"
"Formula Powell Trucking 2006 Ltd.  (A73F)",*,"1.00"
"Fort Calgary Resources Ltd.  (A1JY)",,"1.14"
"Fortune Energy Inc.  (0DM6)",*,"1.27"
"Foxwood Resources Ltd.  (A7BC)",,"1.17"
"Frank O'Sullivan Petroleum Western Ltd.  (0EA3)",,"0.00"
"Free Rein Resources Ltd.  (0KA2)",*,"1.00"
"Freehold Royalties Ltd.  (A68A)",,"0.92"
"Front Range Resources Ltd.  (A5KN)",*,"1.00"
"G. Herman Group Inc.  (A6DY)",,"1.06"
"Gain Energy Ltd.  (A7ME)",,"2.49"
"Gear Energy Ltd.  (A2JR)",,"2.04"
"Gentra One Resources Inc.  (0EG2)",*,"2.00"
"Geo. B. Ross Holdings Ltd.  (A05H)",*,"1.00"
"Georox Resources Inc.  (A5BH)",,"2.16"
"GEX Resources Ltd.  (0BE8)",*,"1.38"
"GFL Environmental Inc.  (A78P)",*,"1.00"
"Ghost River Resources Inc.  (A7L3)",,"2.23"
"Gibson Energy ULC  (0195)",*,"1.42"
"GL Petroleum Corporation  (A70K)",*,"1.00"
"Glen Isle Exploration Ltd.  (0AA1)",*,"1.00"
"Glenogle Energy Inc.  (A52E)",,"3.46"
"Golden Spike Energy Inc.  (A0M1)",,"0.89"
"Goldenkey Oil Inc.  (A2K7)",,"3.53"
"Grand Rapids Petroleum Ltd.  (0XJ5)",*,"1.00"
"Grandview Exploration Inc.  (A2CC)",,"4.91"
"Granite Oil Corp.  (A2PJ)",,"8.62"
"Graybeard Energy Ltd.  (A1W3)",*,"1.84"
"Greenview 16, M.D. Of  (A6CE)",*,"1.00"
"Grizzly Discoveries Inc.  (A4XF)",*,"1.00"
"Grizzly Oil Sands ULC  (A29X)",,"0.00"
"Grizzly Resources Ltd.  (A0TX)",,"7.13"
"Gryphon Petroleum Corp.  (A1BB)",,"3.90"
"Gulf Canada Limited  (0002)",,"1.00"
"Gunnarr Resources Inc.  (A5FY)",*,"2.15"
"Hadeed Resources Inc.  (A7G6)",,"1.37"
"Halliburton Partners Canada ULC  (A77Y)",*,"1.02"
"Halo Exploration Ltd.  (A6GH)",*,"1.86"
"Hammerhead Resources Inc.  (A5T7)",,"36.31"
"Hard Rock Resources Ltd.  (0ZK3)",,"1.35"
"Hardisty Caverns Ltd.  (A04H)",*,"1.12"
"Harlech Exploration Ltd.  (0AR5)",*,"1.00"
"Harvard International Resources Ltd.  (0AF4)",,"0.99"
"Harvest Operations Corp.  (0Z0H)",,"1.81"
"HBC Energy Ltd.  (A77B)",,"1.18"
"Hell's Half-Acre Petroleum Corporation  (A5ER)",,"3.12"
"Hemisphere Energy Corporation  (A5E4)",,"6.50"
"HESC Energy Corporation  (A6R6)",,"0.97"
"Hewitt Oil (Alberta) Ltd.  (0E30)",*,"1.00"
"High Ground Energy Inc.  (A76H)",,"4.18"
"High Point Oil Inc.  (A7PD)",,"1.00"
"Highvale Operating Corp.  (A69T)",,"0.27"
"Hillcrest Investments Ltd.  (0A0Z)",*,"0.52"
"Hillsdale Drilling Ltd.  (0KF1)",*,"1.16"
"Hitic Energy Ltd.  (A697)",,"10.79"
"Horseshoe Bay Resources Limited  (A1FR)",,"1.05"
"Houston Oil & Gas Ltd.  (A74H)",,"0.97"
"Hua Wei Oil & Gas Ltd.  (A5H8)",*,"1.00"
"Huntington Exploration Inc.  (A1HW)",*,"1.00"
"Huron Resources Corp.  (A6YG)",,"8.64"
"Husky Oil Operations Limited  (0R46)",,"4.85"
"Hutton Energy Ltd.  (A6H2)",*,"0.36"
"Iberdrola Canada Energy Services Ltd.  (0C6G)",,"7.15"
"Ikkuma Resources Corp.  (A5C4)",,"6.88"
"Imperial Oil Resources Limited  (0007)",,"8.77"
"Inception Exploration Ltd.  (A600)",,"5.98"
"Incipient Exploration Ltd.  (A6MB)",,"1.23"
"Indra Oil & Gas Ltd.  (0LJ4)",,"1.07"
"Innes Oilfield Services Ltd.  (A725)",*,"1.20"
"InPlay Oil Corp.  (A6JK)",,"2.21"
"Insch Commodity Ltd.  (A771)",,"0.03"
"Insignia Energy Ltd.  (A1FX)",,"3.75"
"Inter Pipeline Ltd.  (A6LA)",,"129.23"
"Inter Pipeline Propylene Ltd.  (A72F)",,"1.00"
"IPC Alberta Ltd.  (A7N1)",,"1.27"
"Iron Bridge Resources Inc.  (A1CL)",,"20.92"
"Ish Energy Ltd.  (0LN5)",,"1.06"
"Japan Canada Oil Sands Limited  (0NY5)",,"23.35"
"Jast Energy Ltd.  (A6LD)",,"1.57"
"Jaya Petroleum Ltd.  (0KR5)",*,"1.00"
"Jaycor Resources Inc.  (0HC4)",*,"1.86"
"Jayhawk Resources Ltd.  (A276)",,"2.97"
"JBS Food Canada ULC  (A6PZ)",,"1.00"
"John Lake Disposal Ltd.  (A2YA)",*,"1.00"
"Joli Fou Petroleums Ltd  (0AY2)",,"0.98"
"Jordan Energy Inc.  (A1WH)",*,"0.80"
"Joslyn Energy Development Incorporated  (A29C)",,"1.00"
"Journey Energy Inc.  (A2PH)",,"2.25"
"JRJ Energy Ltd.  (A5RH)",*,"0.99"
"Jupiter Resources Inc.  (A6X1)",,"12.19"
"Just Freehold Energy Corp.  (A2N1)",,"1.04"
"K+S Windsor Salt Ltd./K+S Sel Windsor Ltee  (A6TK)",*,"1.00"
"Kaden Energy Ltd.  (A7JH)",*,"1.06"
"Kairos Resources (2011) Ltd.  (A5TJ)",*,"1.29"
"Kaisen Energy Corp.  (A7H0)",,"2.47"
"Kaiser Exploration Ltd.  (A1RN)",*,"1.02"
"Kam's Sand Coating Ltd.  (0LC7)",*,"3.85"
"Kanata Energy Group Ltd.  (A730)",,"1.94"
