LMS - INT03,"June 02, 2018"
Alberta Energy Regulator
Liability Management Programs Results Report
Liability Run ID:,40696
Liability Run Date:,"June 02, 2018"
Disclaimer:
Please note that the information posted on this Web site is provided solely for the convenience of licensees. The Liability Management Rating (LMR) provided for licensees reflects the results of a comparison of their deemed assets to their deemed liabilities for all Liability Management programs.  This ratio is based on information reported to the AER and the calculation of deemed 
assets and deemed liabilities as specified in AER Directive:,006 Licensee Liability Rating (LLR) 
Program and Licence Transfer Process, Directive 024: Large Facility Liability Management Program (LFP) and Directive 075: Oilfield Waste Liability (OWL) Program.
"This information is provided without warranty of any kind, and while believed to be accurate, the AER, its agents, employees and contractors hereby disclaim any liability for losses or damages that may result or arise from the use of or reliance on the information provided on this site."
Liability Management Rating (LMR) 
Industry LMR Threshold:,1.00
Industry Average LMR:,"4.78"
Number of Licensees at or over Industry Threshold:,"423"
Number of Licensees below Industry Threshold:,"324"
Total Number of Licensees Evaluated:,"747"
Total Number of Licences/Approvals Evaluated:,"347,958"
Total Deemed Assets:,"$144,810,961,456.75"
Total Deemed Liabilities:,"$30,323,978,878.07"
Total Estimated Liabilities:,"$30,987,772,737.07"
Total LMR Security Held:,"$197,389,795.04"
Liability Management (LMR) Rating Summary 
LMR Range,Number of Licensees,Number of Licences/ Approvals,Total Deemed Assets,Total Deemed Liabilities,LMR Value
0.00,"223","3,161","$17,280.52","$219,735,954.27","0.00"
0.01 - 0.49,"39","1,107","$19,673,965.30","$105,777,661.33","0.19"
0.50 - 0.99,"62","12,651","$769,434,923.44","$850,678,600.65","0.90"
1.00 - 1.49,"139","51,047","$4,627,448,990.25","$3,526,148,899.68","1.31"
"Canadian Natural Resources Limited  (0HE9)",,"2.99"
"Canadian Natural Upgrading Limited  (A7K5)",,"4.06"
"Canadian-Montana Pipe Line Corporation  (0958)",*,"1.00"
"Canamax Energy Ltd.  (A6LB)",,"5.58"
"Cancen Oil Processors Inc.  (A214)",*,"1.43"
"Canden Resources Ltd.  (0MH8)",*,"1.00"
"Cangild Resources Ltd.  (0P42)",*,"1.00"
"Canlin Energy Corporation  (A7M1)",,"2.45"
"Cansearch Resources Ltd.  (0PW8)",,"1.81"
"Canstone Energy Ltd.  (A69G)",,"1.46"
"Canuck North Resources Ltd.  (A60G)",,"4.42"
"Canyon Oil & Gas Corporation  (0L3H)",,"1.32"
"Cardinal Energy Ltd.  (A6A7)",,"2.01"
"Carrick Petroleum Inc.  (A6AM)",,"7.17"
"Castlegate Energy Ltd.  (A7F3)",,"1.00"
"Catapult Environmental Inc.  (A73Y)",*,"117.12"
"Cec North Star Energy Ltd.  (A6FB)",*,"1.61"
"Cedar Creek Energy Ltd.  (A7E1)",*,"1.27"
"Cenovus Energy Inc.  (A5D4)",,"3.05"
"Cenovus FCCL Ltd.  (A2EZ)",,"32.45"
"Cenovus TL ULC  (A629)",*,"1.00"
"Centennial Petroleum Company Ltd.  (0DL9)",,"1.94"
"Cequence Energy Ltd.  (A1ME)",,"5.36"
"Cerno Resources Ltd.  (A7LC)",,"1.06"
"Certus Oil And Gas Inc.  (A7J4)",,"1.41"
"Challenger Development Corp.  (0CX7)",,"1.70"
"Changhua Energy Canada Ltd.  (A63L)",,"2.98"
"Check Energy Ltd.  (A6M0)",*,"8.75"
"Chemnor Industries Ltd  (0BR8)",*,"0.89"
"Chevron Canada Limited  (0045)",*,"15.30"
"Chinook Energy Inc.  (A5LF)",*,"1.13"
"Chronos Resources Ltd.  (A7LT)",,"1.00"
"Cinabar Enterprises Ltd.  (0W11)",,"0.00"
"City Of Medicine Hat  (0150)",,"0.99"
"Clampett Energy Ltd.  (A5J8)",*,"0.90"
"Clean Harbors Exploration Services, ULC  (0PH4)",,"0.00"
"Clean Harbors Industrial Services Canada, Inc.  (A619)",*,"1.67"
"Clearbrook Resources Inc.  (A5G9)",,"1.21"
"Clearview Resources Ltd.  (A5RA)",,"2.91"
"Cleo Energy Corp.  (A7BY)",,"1.13"
"CNOOC Canada Energy Ltd.  (A71M)",,"1.00"
"CNPC International (Canada) Ltd.  (0HZ2)",*,"1.01"
"Coalspur Mines (Operations) Ltd.  (A5M1)",,"1.00"
"Coastal Resources Limited  (0PR1)",,"1.06"
"Cold Creek Resources Ltd.  (A0AZ)",,"1.59"
"Cona Resources Ltd.  (A5K1)",*,"1.00"
"Concerto Resources Ltd.  (0LW8)",,"0.00"
"Condor Canada Petroleum Inc.  (A2E5)",*,"1.00"
"Connacher Oil And Gas Limited  (0A9H)",,"25.37"
"Connaught Oil & Gas Ltd.  (A5E2)",*,"1.32"
"ConocoPhillips Canada Operations ULC  (0XL9)",*,"1.30"
"ConocoPhillips Canada Resources Corp.  (A5G3)",,"19.40"
"Continental Energy Corporation  (A7LY)",,"3.04"
"Contour Energy Ltd.  (0GY1)",*,"1.00"
"Convega Energy Ltd.  (0E9R)",,"1.11"
"Cor4 Oil Corp.  (A6Y2)",,"1.51"
"Coral Exploration Corporation  (0NF4)",*,"0.80"
"Corex Resources Ltd.  (A2WH)",*,"1.46"
"Corinthian Oil Corp.  (A732)",*,"0.80"
"Corse Energy Corp.  (A6NW)",,"2.69"
"Cortona Energy Ltd.  (A79L)",,"1.70"
"Corval Energy Ltd.  (A6D1)",,"3.96"
"Cote Resources Ltd.  (A6G5)",*,"0.86"
"Crazy Hill Resources Ltd.  (0PJ1)",*,"1.25"
"Creenergy Oil & Gas Inc.  (A7M9)",*,"1.00"
"Crescent Point Energy Corp.  (A2J6)",,"2.40"
"Crest Jinn Petroleum Corporation  (A7MZ)",,"1.00"
"Crestwynd Exploration Ltd.  (A7MT)",,"21.29"
"Creswick Petroleum Ltd.  (0LP9)",*,"1.00"
"Crew Energy Inc.  (A0C6)",,"1.84"
"Crimson Oil & Gas Ltd.  (A6AG)",*,"0.67"
"Croverro Energy Ltd.  (A5PT)",,"0.82"
"CSV Midstream Solutions Corp.  (A6WG)",,"0.00"
"Cuda Energy Inc.  (A75T)",,"13.44"
"Cycle Energy Ltd.  (0D64)",,"0.34"
"Cynthia Custom Oil Processing Ltd.  (A74R)",*,"1.00"
"Dantel Resources Ltd.  (0KG3)",*,"1.00"
"Dark Energy Ltd.  (0XF2)",,"1.59"
"Dark Warrior Resources Ltd.  (A6AP)",*,"6.36"
"DCP Oil Corp.  (A7DB)",,"12.60"
"Deckland Inc.  (A64K)",,"0.20"
"Deep Well Oil & Gas (Alberta) Ltd.  (A577)",*,"1.00"
"DeerGarden Resources Ltd.  (A64N)",*,"4.47"
"Dejour Energy (Alberta) Ltd.  (A2W4)",*,"1.32"
"Delphi Energy Corp.  (0CT7)",,"12.69"
"Deltastream Energy Corporation  (A6YA)",,"6.03"
"Derrick Petroleum Ltd.  (0PX3)",*,"1.29"
"Desoto Resources Limited  (0PH7)",*,"0.97"
"Devon Canada Corporation  (0K29)",*,"10.91"
"DGS Oil & Gas Co. Inc.  (0NX3)",*,"1.00"
"Dienerian Resources Inc.  (A777)",,"1.00"
"Dire Resources Ltd.  (0A0E)",*,"2.66"
"Direct Energy Marketing Limited  (0RC3)",,"1.00"
"Direct Oil & Gas Inc.  (A7LX)",,"2.13"
"Dirham Oil (2000) Inc.  (A00C)",*,"2.66"
"Diversified Oil & Gas Ltd.  (0C5N)",*,"1.04"
"Doag Energy Ltd.  (A63X)",*,"5.38"
"Dolomite Energy Inc.  (A1CJ)",*,"0.49"
"Dragonfountain Ltd.  (A6Y1)",*,"1.00"
"Dragos Energy Corp.  (A7FL)",*,"0.20"
"Drakkar Energy Ltd.  (A2RJ)",,"5.14"
"Dynatech Petroleum Consultants Ltd.  (0MC7)",*,"3.02"
"E-T Energy Ltd.  (A1H6)",*,"1.37"
"Eagle Energy Inc.  (A794)",,"3.07"
"Eagle Hydrocarbons Ltd.  (0PB1)",*,"1.00"
"Eastcott Holdings Ltd.  (A1P7)",*,"1.00"
"Eclipse Resources Ltd.  (0YK8)",,"2.12"
"Eco-Industrial Business Park Inc.  (A519)",,"1.48"
"Edalis Energy Inc.  (A5F0)",,"1.02"
"Edson Anchors Ltd.  (A2NH)",*,"0.39"
"Elcano Exploration Inc.  (A78J)",*,"1.23"
"Elkhorn Petroleums Ltd.  (A72N)",*,"1.00"
"Elmdale Resources Ltd.  (0LN1)",*,"0.61"
"Ember Resources Inc.  (A1H9)",,"2.00"
"Emerald Lake Energy Ltd.  (A5YB)",,"11.49"
"Encana Corporation  (0026)",,"8.31"
"Ener T Corporation  (0HR9)",,"1.93"
"Enercapita Energy Ltd.  (A73W)",,"2.35"
"Energetic Logistics Services Inc.  (A73E)",*,"1.00"
"Energy Express Canada Corp.  (0LD3)",,"2.89"
"Enerplus Corporation  (A5RD)",,"3.11"
"Eng-Land Energy Ltd.  (0A1H)",*,"1.15"
"Enhance Energy Inc.  (A216)",,"1.15"
"Eni Canada Holding Ltd.  (A5FG)",*,"1.00"
"Entrada Resources Inc.  (A7DT)",,"2.49"
"Envolve Energy Services Corp.  (A6P8)",,"18.29"
"Essex Oil Corporation  (A74K)",,"3.17"
"Executive Adventures 2008 Inc.  (A6PA)",,"12.25"
"Expander Energy Inc.  (A7KE)",,"1.00"
"Exshaw Oil Corp.  (A2DM)",,"10.44"
"ExxonMobil Canada Energy  (0JT1)",*,"1.00"
"ExxonMobil Canada Ltd.  (0057)",,"1.16"
"ExxonMobil Canada Resources Company  (A0NG)",,"2.80"
"Far West Energy Corp.  (A6D0)",*,"1.50"
"Fenway Exploration Ltd.  (A70R)",,"0.00"
"Ferrybank Resources Ltd.  (0HH4)",*,"0.71"
"Ferus Inc.  (A1Y8)",,"4.96"
"Ferus Natural Gas Fuels Inc.  (A73H)",*,"1.00"
"Fire Creek Resources Ltd.  (0TY4)",*,"1.00"
"Firefly Resources Ltd.  (0NB7)",*,"1.03"
