2011 Census Profile - Data quality flags and descriptions - Forward Sortation Areas (FSA)
"Geo_Code","Geo_Name","DQ_Flag (5-digit code)*"
"L2T","L2T","00000"
"L2V","L2V","00000"
"L2W","L2W","00000"
"L3B","L3B","00000"
"L3C","L3C","00000"
"L3K","L3K","00000"
"L3M","L3M","00000"
"L3P","L3P","00000"
"L3R","L3R","00000"
"L3S","L3S","00000"
"L3T","L3T","00000"
"L3V","L3V","00000"
"L3X","L3X","00000"
"L3Y","L3Y","00000"
"L3Z","L3Z","00000"
"L4A","L4A","00000"
"L4B","L4B","00000"
"L4C","L4C","00000"
"L4E","L4E","00000"
"L4G","L4G","00000"
"L4H","L4H","00000"
"L4J","L4J","00000"
"L4K","L4K","00000"
"L4L","L4L","00000"
"L4M","L4M","00000"
"L4N","L4N","00000"
"L4P","L4P","00000"
"L4R","L4R","00000"
"L4S","L4S","00000"
"L4T","L4T","00000"
"L4V","L4V","00000"
"L4W","L4W","00000"
"L4X","L4X","00000"
"L4Y","L4Y","00000"
"L4Z","L4Z","00000"
"L5A","L5A","00000"
"L5B","L5B","00000"
"L5C","L5C","00000"
"L5E","L5E","00000"
"L5G","L5G","00000"
"L5H","L5H","00000"
"L5J","L5J","00000"
"L5K","L5K","00000"
"L5L","L5L","00000"
"L5M","L5M","00000"
"L5N","L5N","00000"
"L5P","L5P","00000"
"L5R","L5R","00000"
"L5S","L5S","00000"
"L5T","L5T","01000"
"L5V","L5V","00000"
"L5W","L5W","00000"
"L6A","L6A","00000"
"L6B","L6B","00000"
"L6C","L6C","00000"
"L6E","L6E","00000"
"L6G","L6G","01000"
"L6H","L6H","00000"
"L6J","L6J","00000"
"L6K","L6K","00000"
"L6L","L6L","00000"
"L6M","L6M","00000"
"L6P","L6P","00000"
"L6R","L6R","00000"
"L6S","L6S","00000"
"L6T","L6T","00000"
"L6V","L6V","00000"
"L6W","L6W","00000"
"L6X","L6X","00000"
"L6Y","L6Y","00000"
"L6Z","L6Z","00000"
"L7A","L7A","00000"
"L7B","L7B","00000"
"L7C","L7C","00000"
"L7E","L7E","00000"
"L7G","L7G","00000"
"L7J","L7J","00000"
"L7K","L7K","00000"
"L7L","L7L","00000"
"L7M","L7M","00000"
"L7N","L7N","00000"
"L7P","L7P","00000"
"L7R","L7R","00000"
"L7S","L7S","01000"
"L7T","L7T","00000"
"L8E","L8E","00000"
"L8G","L8G","00000"
"L8H","L8H","00000"
"L8J","L8J","00000"
"L8K","L8K","00000"
"L8L","L8L","00000"
"L8M","L8M","01000"
"L8N","L8N","01000"
"L8P","L8P","01000"
"L8R","L8R","01000"
"L8S","L8S","00000"
"L8T","L8T","00000"
"L8V","L8V","00000"
"L8W","L8W","00000"
"L9A","L9A","00000"
"L9B","L9B","00000"
"L9C","L9C","00000"
"L9G","L9G","00000"
"L9H","L9H","00000"
"L9J","L9J","00000"
"L9K","L9K","00000"
"L9L","L9L","00000"
"L9M","L9M","00000"
"L9N","L9N","00000"
"L9P","L9P","00000"
"L9R","L9R","00000"
"L9S","L9S","00000"
"L9T","L9T","00000"
"L9V","L9V","00000"
"L9W","L9W","00000"
"L9Y","L9Y","00000"
"L9Z","L9Z","00000"
"M1B","M1B","00000"
"M1C","M1C","00000"
"M1E","M1E","00000"
"M1G","M1G","00000"
"M1H","M1H","00000"
"M1J","M1J","00000"
"M1K","M1K","00000"
"M1L","M1L","00000"
"M1M","M1M","00000"
"M1N","M1N","00000"
"M1P","M1P","00000"
"M1R","M1R","00000"
"M1S","M1S","00000"
"M1T","M1T","00000"
"M1V","M1V","00000"
"M1W","M1W","00000"
"M1X","M1X","00000"
"M2H","M2H","00000"
"M2J","M2J","00000"
"M2K","M2K","00000"
"M2L","M2L","00000"
"M2M","M2M","00000"
"M2N","M2N","00000"
"M2P","M2P","00000"
"M2R","M2R","00000"
"M3A","M3A","00000"
"M3B","M3B","00000"
"M3C","M3C","00000"
"M3H","M3H","00000"
"M3J","M3J","00000"
"M3K","M3K","00000"
"M3L","M3L","00000"
"M3M","M3M","00000"
"M3N","M3N","01000"
"M4A","M4A","00000"
"M4B","M4B","00000"
"M4C","M4C","00000"
"M4E","M4E","00000"
"M4G","M4G","00000"
"M4H","M4H","00000"
"M4J","M4J","00000"
"M4K","M4K","00000"
"M4L","M4L","00000"
"M4M","M4M","01000"
"M4N","M4N","00000"
"M4P","M4P","00000"
"M4R","M4R","00000"
"M4S","M4S","00000"
"M4T","M4T","00000"
"M4V","M4V","00000"
"M4W","M4W","00000"
"M4X","M4X","01000"
"M4Y","M4Y","01000"
"M5A","M5A","01000"
"M5B","M5B","01000"
"M5C","M5C","01000"
"M5E","M5E","01000"
"M5G","M5G","01000"
"M5H","M5H","01000"
"M5J","M5J","01000"
"M5K","M5K","00000"
"M5L","M5L","00000"
"M5M","M5M","00000"
"M5N","M5N","00000"
"M5P","M5P","00000"
"M5R","M5R","01000"
"M5S","M5S","01000"
"M5T","M5T","01000"
"M5V","M5V","01000"
"M5W","M5W","00000"
"M5X","M5X","00000"
"M6A","M6A","00000"
"M6B","M6B","00000"
"M6C","M6C","00000"
"M6E","M6E","00000"
"M6G","M6G","01000"
"M6H","M6H","00000"
"M6J","M6J","01000"
"M6K","M6K","01000"
"M6L","M6L","00000"
"M6M","M6M","00000"
"M6N","M6N","00000"
"M6P","M6P","00000"
"M6R","M6R","00000"
"M6S","M6S","00000"
"M7A","M7A","00000"
"M7Y","M7Y","00000"
"M8V","M8V","00000"
"M8W","M8W","00000"
"M8X","M8X","00000"
"M8Y","M8Y","00000"
